,Local Billings (million),Goods Billings (million),Travel Billings (million),Total Billings (million),Local Units Sold,Goods Units Sold,Travel Units Sold,Total Units Sold,New Deals Started Local,New Deals Started Goods,New Deals Started Travel,New Deals Started Total
7/1/12,133414773,26733909.13,16770765.93,176919448.1,4400800.1,855156.18,61283.36,5317239.64,13543,334,211,14088
8/1/12,137321693.4,33008914.69,15436645.08,185767253.2,4233714.74,1162884.17,84984.55,5481583.46,12926,448,277,13651
9/1/12,138200000,50800000,14300000,203300000,4991814.59,1629823.06,60253.49,6681891.14,12814,525,217,13556
10/1/12,126800000,64300000,16600000,207700000,5177435.73,1879696.7,74358.37,7131490.8,14544,770,262,15576
11/1/12,139900000,85100000,14600000,239600000,4920379.38,2583171.53,87332.57,7590883.48,13914,1079,270,15263
12/1/12,164400000,64300000,18500000,247200000,5502182.25,1915783.55,93702.6,7511668.4,15374,1310,334,17018
1/1/13,162700000,47300000,22600000,232600000,5330316.297,1596737.74,84821.49,7011875.527,12375,992,243,13610
2/1/13,143000000,46000000,13600000,202600000,4823771.584,1491286.16,55029.81,6370087.554,11846,1197,188,13231
3/1/13,163400000,51000000,20300000,234700000,5530983.027,1685055.23,84685.82,7300724.077,13041,1499,205,14745
4/1/13,143800000,62800000,18900000,225500000,4807696.581,2470160.52,102090.52,7379947.621,10790,1755,329,12874
5/1/13,162200000,71700000,22900000,256800000,5592799.039,2726325.92,144592.28,8463717.239,14281,2185,471,16937
6/1/13,153200000,67100000,22800000,243100000,5755797.88,2651338.24,142509.04,8549645.16,13815,2610,458,16883
7/1/13,139951253.5,61279983.68,22404491.6,223635728.8,4996243.07,2267942.734,103020.751,7367206.555,14173,2796,506,17475
8/1/13,136667939.6,67024982.15,22738887,226431808.8,4902360.844,2471564.289,108411.7877,7482336.921,13075,2887,537,16499
9/1/13,133795040,63194983.17,21735700.81,218725724,4967460.867,2346841.512,105751.9414,7420054.32,10670,2847,571,14088
,,,,,,,,,,,,
,,,,,,,,,,,,
,Local Billings (million),Goods Billings (million),Travel Billings (million),Total Billings (million),Local Units Sold,Goods Units Sold,Travel Units Sold,Total Units Sold,New Deals Started Local,New Deals Started Goods,New Deals Started Travel,New Deals Started Total
7/1/12,0.326248168,0.241842104,0.360604161,,0.32296299,0.23442659,0.296740967,,,,,
8/1/12,0.335802025,0.298607486,0.331917962,,0.310701041,0.318785009,0.411504813,,,,,
9/1/12,0.337949807,0.45955041,0.307477877,,0.366335969,0.446788401,0.29175422,,,,,
,,,,,,,,,,,,
10/1/12,0.294131292,0.300889097,0.334004024,,0.331886962,0.29468558,0.291152118,,,,,
11/1/12,0.324518673,0.398221806,0.293762575,,0.315408988,0.404971398,0.341952933,,,,,
12/1/12,0.381350035,0.300889097,0.3722334,,0.35270405,0.300343022,0.36689495,,,,,
,,,,,,,,,,,,
1/1/13,0.346834364,0.327789328,0.4,,0.339833739,0.334529912,0.377761548,,,,,
2/1/13,0.304839054,0.318780319,0.240707965,,0.307539036,0.312436924,0.245081125,,,,,
3/1/13,0.348326583,0.353430353,0.359292035,,0.352627225,0.353033165,0.377157327,,,,,
,,,,,,,,,,,,
4/1/13,0.31315331,0.311507937,0.292569659,,0.297574229,0.314757353,0.262314133,,,,,
5/1/13,0.353222997,0.355654762,0.354489164,,0.346168448,0.347398933,0.3715193,,,,,
6/1/13,0.333623693,0.332837302,0.352941176,,0.356257324,0.337843714,0.366166567,,,,,
,,,,,,,,,,,,
7/1/13,0.341,0.32,0.335,,0.336083768,0.320043916,0.324797578,,,,,
8/1/13,0.333,0.35,0.34,,0.329768565,0.348778257,0.341794112,,,,,
9/1/13,0.326,0.33,0.325,,0.334147667,0.331177827,0.33340831,,,,,
,,,,,,,,,,,,
,0.309202359,0.300647395,0.339219797,,0.32877765,0.297187125,0.300852693,,,,,
,0.327397611,0.37123734,0.302969054,,0.318663102,0.375722751,0.342161695,,,,,
,0.363400029,0.328115265,0.357811149,,0.352559248,0.327090124,0.356985612,,,,,
,,,,,,,,,,,,
,Local Billings (million),Goods Billings (million),Travel Billings (million),Total Billings (million),Local Units Sold,Goods Units Sold,Travel Units Sold,Total Units Sold,New Deals Started Local,New Deals Started Goods,New Deals Started Travel,New Deals Started Total
10/1/13,0.309202359,0.300647395,0.339219797,,0.32877765,0.297187125,0.300852693,,,,,
11/1/13,0.327397611,0.37123734,0.302969054,,0.318663102,0.375722751,0.342161695,,,,,
12/1/13,0.363400029,0.328115265,0.357811149,,0.352559248,0.327090124,0.356985612,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,